p1;;;;;;;
alpha;d;mdot;cp;Text;Tinit;l;T
10;0.075;4;4182;293;330;0;330
5;0.075;4;4182;293;330;250;329.3542547
5;0.075;4;4182;293;330;500;328.7197794
5;0.075;4;4182;293;330;750;328.0963773
5;0.075;4;4182;293;330;1000;327.4838552
p2;;;;;;;
alpha;d;mdot;cp;Text;Tinit;l;T
5;0.075;2;4182;293;327.4838552;0;327.4838552
5;0.075;2;4182;293;327.4838552;250;326.2906946
5;0.075;2;4182;293;327.4838552;500;325.138818
5;0.075;2;4182;293;327.4838552;750;324.026797
5;0.075;2;4182;293;327.4838552;1000;322.9532526
p3;;;;;;;
alpha;d;mdot;cp;Text;Tinit;l;T
5;0.075;2;4182;293;327.4838552;0;327.4838552
5;0.075;2;4182;293;327.4838552;250;326.2906946
5;0.075;2;4182;293;327.4838552;500;325.138818
5;0.075;2;4182;293;327.4838552;750;324.026797
5;0.075;2;4182;293;327.4838552;1000;322.9532526
